canonical_dag_hash,action_label,gps_adapter_pca_x,gps_adapter_pca_y,gps_adapter_tsne_x,gps_adapter_tsne_y,v3_graph_pca_x,v3_graph_pca_y,v3_graph_tsne_x,v3_graph_tsne_y,sbert_document_pca_x,sbert_document_pca_y,sbert_document_tsne_x,sbert_document_tsne_y
a6ef3b9403982ff1,read,-0.45996478,0.0020753688,-3.975819,-10.792342,-0.19373775,-0.52878886,-3.6440632,-23.804047,0.1563537,-0.04036403,-12.793967,7.0329347
cdd682465be2d441,read,-0.31229147,-0.18111001,-3.9021866,-10.117061,-0.23059934,-0.410415,-4.3982644,-23.519215,0.066413246,0.007845541,-13.329001,7.1189566
d28222f94940565f,read,-0.6177082,-0.04614205,-4.693342,-10.72048,-0.29853573,-0.5823419,-3.2925482,-22.767946,0.35227737,-0.0035116929,-12.258052,6.4326615
4de18802d22fce97,read,-0.14542231,-0.6630582,-2.207388,-4.0192466,-0.3477211,0.051376056,-7.2808266,11.817261,0.20453286,-0.052682266,-18.625235,6.291635
5c482e4485817d4b,edit,0.48274505,0.32152587,16.104204,10.404761,0.80381787,-0.2513271,18.884563,0.7954066,-0.59568983,0.18855603,12.533024,-11.259427
1fbb33aa36eb6249,edit,0.49962914,0.34254855,16.31375,10.578595,0.8477583,-0.27694097,19.088345,0.3901469,-0.65007895,0.18653232,12.513119,-11.386001
4c2820922a5eff80,edit,0.65721864,0.2603463,16.734114,11.057266,0.8543556,-0.17447674,18.44834,-0.15521047,-0.60594296,0.13147807,12.0184965,-10.734051
81fb0b7c6b74cee1,read,-0.7772657,-0.123415306,-13.681394,-11.074453,-0.5124508,-0.80079204,-9.6679945,-13.377175,0.6663395,0.1913341,-12.2729225,-5.5540066
707ff5d244177886,read,-0.7757197,-0.13314603,-13.615073,-10.982261,-0.5518925,-0.7713546,-9.707528,-13.251643,0.63454795,0.19421366,-12.138578,-5.4416857
d688371ecb972ef9,read,-0.76444757,-0.12260262,-13.62783,-11.061681,-0.5293224,-0.74915105,-9.889176,-13.640199,0.62241656,0.1993398,-12.329899,-5.6395893
fee1dbdc8bd7e651,edit,0.021025263,0.45323536,-1.9634227,16.589617,0.7522702,-0.2311368,20.708363,0.13522036,-0.50907075,0.20247427,12.729484,-13.883842
579521f089402773,edit,0.5707548,-0.45502993,10.723,-3.085949,0.20237862,0.54455197,11.237881,11.385001,-0.38978344,0.3881403,4.961748,-13.7120075
d4fec711744734d5,edit,0.5667865,-0.45369098,10.2062435,-3.2554674,0.18673538,0.5333988,12.030237,10.797319,-0.35425436,0.5095614,4.8706923,-14.063429
2c1cc44a35684c9c,edit,0.56985956,-0.46080548,10.758373,-2.992808,0.21742108,0.63308406,11.046274,11.40667,-0.41715184,0.38606337,4.9870234,-13.589797
cd0e729831c63a49,edit,0.5328271,-0.47007394,10.784688,-3.1388445,0.0763053,0.6219552,10.846548,11.797869,-0.35556126,0.3592946,5.038859,-13.467224
1ebdc98d377a1a9a,orchestrate,-0.24224214,0.029606828,-21.198969,7.676743,-0.4569432,0.5643644,-20.945465,0.696924,0.29965177,-0.6679267,-8.170545,17.142067
8b78c39c577eb04a,read,-0.3357854,0.03466697,-7.3831353,-13.817219,-0.2924694,0.033053838,-8.726472,3.2348,0.19987866,0.18682557,0.18513845,-1.6220851
1cb9c050292959ee,read,-0.3784392,-0.16432594,-7.292302,-14.214982,-0.3850701,0.17705174,-8.510598,4.007815,0.31449693,0.3672121,0.16301018,-2.186257
a8759b78d47f49c2,read,-0.24767324,-0.10141244,-6.901584,-13.663957,-0.24054475,0.043542888,-8.068564,3.344412,0.23516856,0.28528234,-0.18476872,-1.7385154
74571a366640b2dc,orchestrate,0.20142223,0.09170252,24.778372,13.312488,-0.0015291892,-0.53392637,-0.15165707,-10.359295,0.057449333,-0.16480781,-22.40348,-3.7504604
edb81dd2be8c4cb5,orchestrate,0.3077986,-0.019029783,24.764832,12.9805975,0.11519422,-0.28100178,0.09753206,-9.673306,-0.092919625,-0.118825346,-22.389723,-3.3301623
49032e4d0c846f8e,read,0.31875956,-0.07334661,16.766272,-9.420916,0.12708586,0.35897368,16.559906,-15.426358,-0.16451763,-0.07319615,7.458643,-0.21946472
